seq_id,Helicase_C,DEAD,ResIII,UvrB_inter,RecG_wedge,SNF2_N
s1,1,0,0,0,0,0
s2,0,1,1,0,0,0
s3,0,0,1,1,0,0
s4,0,0,0,0,1,0
s5,0,1,1,0,0,0
s6,0,1,1,0,0,1
s7,0,0,0,0,0,0
s8,0,1,1,0,0,0
s9,0,1,1,0,0,0
s10,0,0,0,0,0,0
